timestamp,user_id,device_id,source_ip,city,country,lat,lon,auth_result
2026-08-01 10:20:14.117260,u05,u05-laptop,10.11.219.230,Chennai,India,13.0827,80.2707,success
2026-08-01 10:32:23.321816,u05,u05-laptop,10.11.136.197,Chennai,India,13.0827,80.2707,success
2026-08-01 10:36:59.392849,u15,u15-laptop,10.152.90.226,Kolkata,India,22.5726,88.3639,success
2026-08-01 11:00:55.918380,u08,u08-laptop,10.118.80.15,Ahmedabad,India,23.0225,72.5714,success
2026-08-01 11:23:48.367944,u06,u06-laptop,10.75.97.25,Pune,India,18.5204,73.8567,success
2026-08-01 12:05:59.225359,u08,u08-laptop,10.118.4.171,Ahmedabad,India,23.0225,72.5714,success
2026-08-01 12:53:57.043483,u05,u05-laptop,10.11.9.29,Chennai,India,13.0827,80.2707,success
2026-08-02 08:24:18.590996,u03,u03-laptop,10.143.156.170,Bangalore,India,12.9716,77.5946,success
2026-08-02 08:26:41.303671,u01,u01-mobile,10.140.233.107,Mumbai,India,19.076,72.8777,success
2026-08-02 08:58:31.057556,u06,u06-laptop,10.75.226.77,Pune,India,18.5204,73.8567,success
2026-08-02 09:23:10.704327,u07,u07-laptop,10.152.0.169,Kolkata,India,22.5726,88.3639,success
2026-08-02 09:25:52.402921,u07,u07-laptop,10.152.81.80,Kolkata,India,22.5726,88.3639,success
2026-08-02 09:33:57.981880,u07,u07-laptop,10.152.124.117,Kolkata,India,22.5726,88.3639,success
2026-08-02 09:42:02.831465,u14,u14-laptop,10.75.158.236,Pune,India,18.5204,73.8567,success
2026-08-02 10:02:57.948472,u13,u13-laptop,10.11.22.187,Chennai,India,13.0827,80.2707,success
2026-08-02 10:08:23.895880,u09,u09-mobile,10.140.46.112,Mumbai,India,19.076,72.8777,success
2026-08-02 10:11:12.045990,u02,u02-laptop,10.152.25.67,Delhi,India,28.6139,77.209,success
2026-08-02 11:06:10.432831,u01,u01-mobile,10.140.238.107,Mumbai,India,19.076,72.8777,success
2026-08-02 11:40:55.390823,u02,u02-laptop,10.152.90.188,Delhi,India,28.6139,77.209,success
