timestamp,user_id,device_id,dest_domain,bytes_mb,protocol
2026-08-01 10:43:36.668661,u05,u05-laptop,adminportal.corp.local,41.74,https
2026-08-01 10:55:42.746690,u15,u15-laptop,adminportal.corp.local,102.21,https
2026-08-01 11:08:03.263997,u08,u08-laptop,workday.corp.local,38.39,https
2026-08-01 11:20:35.410426,u05,u05-laptop,adminportal.corp.local,83.85,https
2026-08-01 11:21:46.830671,u05,u05-laptop,adminportal.corp.local,33.06,https
2026-08-01 11:26:41.685897,u05,u05-laptop,mail.corp.local,100.57,https
2026-08-01 11:34:49.193034,u08,u08-laptop,workday.corp.local,24.4,https
2026-08-01 11:40:55.824000,u08,u08-laptop,mail.corp.local,47.37,https
2026-08-01 12:29:11.714166,u08,u08-laptop,workday.corp.local,144.11,https
2026-08-01 12:51:01.275953,u06,u06-laptop,mail.corp.local,142.53,https
2026-08-01 14:13:28.969104,u05,u05-laptop,mail.corp.local,56.98,https
2026-08-02 08:32:53.457047,u03,u03-laptop,workday.corp.local,32.22,https
2026-08-02 08:35:51.122338,u03,u03-laptop,mail.corp.local,37.15,https
2026-08-02 08:38:48.813213,u03,u03-laptop,mail.corp.local,42.96,https
2026-08-02 08:40:00.221159,u01,u01-mobile,erp.corp.local,8.87,https
2026-08-02 09:01:46.712133,u01,u01-mobile,erp.corp.local,14.58,https
2026-08-02 09:02:47.020232,u06,u06-laptop,erp.corp.local,29.09,https
2026-08-02 09:04:36.698235,u01,u01-mobile,sap.corp.local,15.72,https
2026-08-02 09:09:04.517628,u03,u03-laptop,workday.corp.local,46.61,https
2026-08-02 09:28:52.209120,u06,u06-laptop,mail.corp.local,40.68,https
2026-08-02 09:30:33.581888,u01,u01-mobile,erp.corp.local,10.71,https
2026-08-02 09:38:51.058457,u07,u07-laptop,mail.corp.local,13.23,https
2026-08-02 09:43:36.862128,u06,u06-laptop,mail.corp.local,29.39,https
2026-08-02 09:49:27.714617,u14,u14-laptop,salesforce.corp.local,43.57,https
2026-08-02 09:55:45.205342,u07,u07-laptop,jira.corp.local,15.01,https
2026-08-02 09:56:13.203486,u07,u07-laptop,jira.corp.local,11.83,https
2026-08-02 10:10:38.221498,u09,u09-mobile,salesforce.corp.local,13.73,https
2026-08-02 10:17:26.113236,u09,u09-mobile,mail.corp.local,27.25,https
2026-08-02 10:21:52.244105,u14,u14-laptop,mail.corp.local,37.41,https
2026-08-02 10:23:38.391057,u06,u06-laptop,mail.corp.local,39.78,https
2026-08-02 10:35:19.039663,u07,u07-laptop,mail.corp.local,58.85,https
2026-08-02 10:41:09.828790,u07,u07-laptop,jira.corp.local,50.74,https
2026-08-02 10:49:52.453268,u09,u09-mobile,mail.corp.local,23.3,https
2026-08-02 10:58:09.981321,u13,u13-laptop,mail.corp.local,142.56,https
2026-08-02 11:01:25.446769,u09,u09-mobile,mail.corp.local,25.45,https
2026-08-02 11:05:01.838865,u14,u14-laptop,mail.corp.local,38.96,https
2026-08-02 11:09:34.433684,u01,u01-mobile,sap.corp.local,19.7,https
2026-08-02 11:15:09.074147,u02,u02-laptop,jira.corp.local,77.06,https
2026-08-02 11:19:11.077033,u13,u13-laptop,workday.corp.local,49.53,https
2026-08-02 11:36:36.787456,u09,u09-mobile,mail.corp.local,23.06,https
2026-08-02 11:43:09.483844,u01,u01-mobile,erp.corp.local,18.79,https
2026-08-02 11:58:55.632125,u02,u02-laptop,github.corp.local,5.61,https
2026-08-02 11:59:51.140253,u01,u01-mobile,mail.corp.local,12.97,https
2026-08-02 12:21:58.733072,u01,u01-mobile,erp.corp.local,11.06,https
2026-08-02 12:31:20.031793,u02,u02-laptop,github.corp.local,2.23,https
2026-08-02 12:34:27.488191,u01,u01-mobile,mail.corp.local,18.57,https
2026-08-02 12:43:23.244696,u02,u02-laptop,mail.corp.local,3.36,https
2026-08-02 12:45:16.629274,u02,u02-laptop,jira.corp.local,5.64,https
2026-08-02 12:46:00.589529,u02,u02-laptop,jira.corp.local,2.82,https
2026-08-02 12:52:29.652339,u02,u02-laptop,github.corp.local,3.59,https
2026-08-02 13:44:30.050068,u07,u07-laptop,github.corp.local,25.35,https
2026-08-02 13:45:50.447322,u07,u07-laptop,jira.corp.local,30.82,https
2026-08-02 20:17:17.527240,u10,u10-laptop,mail.corp.local,98.8,https
2026-08-03 07:24:23.599709,u08,u08-laptop,mail.corp.local,14.99,https
2026-08-03 08:02:09.921784,u07,u07-laptop,jira.corp.local,10.37,https
2026-08-03 08:12:15.166630,u08,u08-laptop,workday.corp.local,22.03,https
2026-08-03 08:13:16.378820,u13,u13-mobile,mail.corp.local,15.72,https
2026-08-03 08:13:31.425605,u15,u15-laptop,mail.corp.local,6.44,https
2026-08-03 08:16:34.696394,u15,u15-laptop,mail.corp.local,8.67,https
2026-08-03 08:19:19.234628,u08,u08-laptop,workday.corp.local,20.52,https
2026-08-03 08:19:48.751736,u13,u13-mobile,workday.corp.local,14.46,https
2026-08-03 08:27:58.125363,u13,u13-mobile,workday.corp.local,15.4,https
2026-08-03 08:34:18.336691,u04,u04-laptop,salesforce.corp.local,8.1,https
2026-08-03 08:36:02.226188,u08,u08-laptop,workday.corp.local,9.6,https
2026-08-03 08:38:30.583086,u15,u15-laptop,mail.corp.local,13.64,https
2026-08-03 08:39:08.133049,u07,u07-laptop,github.corp.local,9.82,https
2026-08-03 08:40:53.606128,u15,u15-laptop,adminportal.corp.local,14.57,https
2026-08-03 08:45:04.551791,u12,u12-laptop,mail.corp.local,10.17,https
2026-08-03 08:46:06.710108,u09,u09-mobile,salesforce.corp.local,5.3,https
2026-08-03 08:46:47.390025,u12,u12-laptop,github.corp.local,8.02,https
2026-08-03 08:55:26.870471,u05,u05-laptop,mail.corp.local,15.19,https
2026-08-03 08:59:33.697699,u04,u04-laptop,salesforce.corp.local,6.18,https
2026-08-03 08:59:41.015874,u13,u13-mobile,mail.corp.local,4.13,https
2026-08-03 09:00:53.783537,u07,u07-laptop,mail.corp.local,1.0,https
2026-08-03 09:01:25.449458,u13,u13-mobile,workday.corp.local,8.84,https
2026-08-03 09:08:06.064971,u13,u13-mobile,mail.corp.local,2.99,https
2026-08-03 09:10:16.721888,u13,u13-mobile,workday.corp.local,7.77,https
2026-08-03 09:10:50.635043,u09,u09-mobile,mail.corp.local,12.01,https
2026-08-03 09:11:32.182648,u13,u13-mobile,mail.corp.local,4.17,https
2026-08-03 09:12:38.788371,u05,u05-laptop,adminportal.corp.local,49.59,https
2026-08-03 09:13:31.296649,u02,u02-laptop,jira.corp.local,8.62,https
2026-08-03 09:13:40.060798,u07,u07-laptop,mail.corp.local,2.68,https
2026-08-03 09:15:01.368450,u13,u13-mobile,workday.corp.local,5.34,https
2026-08-03 09:15:35.990358,u05,u05-laptop,mail.corp.local,18.58,https
2026-08-03 09:19:49.119402,u11,u11-laptop,mail.corp.local,53.04,https
2026-08-03 09:22:09.726678,u13,u13-mobile,workday.corp.local,3.28,https
2026-08-03 09:22:15.404255,u05,u05-laptop,mail.corp.local,41.24,https
2026-08-03 09:23:51.560270,u02,u02-laptop,jira.corp.local,12.1,https
2026-08-03 09:23:56.612886,u02,u02-laptop,mail.corp.local,2.1,https
2026-08-03 09:25:03.238583,u02,u02-laptop,jira.corp.local,1.32,https
2026-08-03 09:25:57.149593,u02,u02-laptop,jira.corp.local,7.91,https
2026-08-03 09:28:54.706948,u07,u07-laptop,jira.corp.local,1.94,https
2026-08-03 09:29:56.669501,u13,u13-mobile,workday.corp.local,4.77,https
2026-08-03 09:30:04.535281,u09,u09-mobile,mail.corp.local,9.86,https
2026-08-03 09:30:56.986626,u13,u13-mobile,mail.corp.local,5.46,https
2026-08-03 09:31:40.163017,u13,u13-mobile,mail.corp.local,5.99,https
2026-08-03 09:32:00.484409,u09,u09-mobile,mail.corp.local,8.96,https
2026-08-03 09:33:12.463086,u13,u13-mobile,workday.corp.local,8.0,https
2026-08-03 09:34:00.892807,u07,u07-laptop,mail.corp.local,2.31,https
2026-08-03 09:34:41.755774,u07,u07-laptop,jira.corp.local,1.52,https
2026-08-03 09:35:07.215232,u07,u07-laptop,mail.corp.local,24.72,https
2026-08-03 09:36:02.304935,u07,u07-laptop,mail.corp.local,3.19,https
2026-08-03 09:37:13.213148,u07,u07-laptop,jira.corp.local,13.59,https
2026-08-03 09:37:59.819673,u02,u02-laptop,github.corp.local,9.41,https
2026-08-03 09:38:01.595766,u15,u15-laptop,adminportal.corp.local,5.68,https
2026-08-03 09:38:58.349364,u14,u14-laptop,mail.corp.local,151.63,https
2026-08-03 09:40:04.648510,u02,u02-laptop,mail.corp.local,5.26,https
2026-08-03 09:40:28.387895,u13,u13-mobile,workday.corp.local,8.32,https
2026-08-03 09:42:25.100156,u07,u07-laptop,mail.corp.local,3.4,https
2026-08-03 09:42:44.693468,u11,u11-laptop,sap.corp.local,55.77,https
2026-08-03 09:44:06.530087,u07,u07-laptop,github.corp.local,2.09,https
2026-08-03 09:45:45.117320,u08,u08-laptop,mail.corp.local,3.41,https
2026-08-03 09:46:19.664814,u13,u13-mobile,mail.corp.local,4.41,https
2026-08-03 09:52:44.270593,u12,u12-laptop,jira.corp.local,5.54,https
2026-08-03 09:54:35.032566,u15,u15-laptop,adminportal.corp.local,6.85,https
