timestamp,user_id,device_id,resource,action,file_size_mb
2026-08-01 10:26:53.355211,u05,u05-laptop,it/asset_inventory.xlsx,read,0.29
2026-08-01 10:33:40.651804,u05,u05-laptop,it/scripts/,read,1.74
2026-08-01 10:34:50.289905,u05,u05-laptop,it/tickets/,read,0.8
2026-08-01 10:38:08.424275,u15,u15-laptop,it/scripts/,download,3.34
2026-08-01 10:41:23.686283,u15,u15-laptop,it/scripts/,write,7.41
2026-08-01 10:49:04.892035,u15,u15-laptop,it/asset_inventory.xlsx,read,8.88
2026-08-01 11:01:44.135338,u15,u15-laptop,it/scripts/,write,3.18
2026-08-01 11:02:49.920310,u15,u15-laptop,it/scripts/,read,5.07
2026-08-01 11:05:02.085078,u15,u15-laptop,it/tickets/,read,4.71
2026-08-01 11:05:54.429707,u15,u15-laptop,it/scripts/,read,7.36
2026-08-01 11:06:34.987668,u05,u05-laptop,it/tickets/,write,0.99
2026-08-01 11:06:40.021789,u05,u05-laptop,it/tickets/,write,0.97
2026-08-01 11:07:01.209561,u15,u15-laptop,it/scripts/,read,5.39
2026-08-01 11:07:58.829390,u08,u08-laptop,hr/onboarding/,download,1.94
2026-08-01 11:09:06.568836,u15,u15-laptop,it/tickets/,read,1.6
2026-08-01 11:13:10.183079,u05,u05-laptop,it/asset_inventory.xlsx,download,2.2
2026-08-01 11:13:27.201175,u15,u15-laptop,it/asset_inventory.xlsx,download,2.0
2026-08-01 11:14:41.045000,u15,u15-laptop,it/tickets/,read,2.73
2026-08-01 11:15:24.576271,u15,u15-laptop,it/asset_inventory.xlsx,download,3.21
2026-08-01 11:17:56.451660,u05,u05-laptop,it/tickets/,read,0.97
2026-08-01 11:20:54.162408,u08,u08-laptop,hr/policies/,read,3.34
2026-08-01 11:23:29.061992,u15,u15-laptop,it/scripts/,read,4.4
2026-08-01 11:23:51.906582,u15,u15-laptop,it/scripts/,read,1.84
2026-08-01 11:25:08.407195,u08,u08-laptop,hr/leave_records.xlsx,read,3.84
2026-08-01 11:29:02.424850,u05,u05-laptop,it/scripts/,read,1.17
2026-08-01 11:30:26.057820,u05,u05-laptop,it/tickets/,read,0.7
2026-08-01 11:31:30.923248,u06,u06-laptop,finance/expense_reports/,download,2.12
2026-08-01 11:32:46.242500,u15,u15-laptop,it/asset_inventory.xlsx,write,2.56
2026-08-01 11:33:25.978492,u06,u06-laptop,finance/general_ledger.xlsx,read,5.08
2026-08-01 11:33:33.919376,u06,u06-laptop,finance/general_ledger.xlsx,write,2.99
2026-08-01 11:34:31.864576,u06,u06-laptop,finance/vendor_invoices/,read,5.69
2026-08-01 11:36:15.520880,u15,u15-laptop,it/asset_inventory.xlsx,read,1.53
2026-08-01 11:37:06.422086,u15,u15-laptop,it/asset_inventory.xlsx,read,5.55
2026-08-01 11:37:09.414802,u08,u08-laptop,hr/leave_records.xlsx,read,2.3
2026-08-01 11:39:14.579428,u08,u08-laptop,hr/leave_records.xlsx,read,5.46
2026-08-01 11:39:36.469275,u06,u06-laptop,finance/general_ledger.xlsx,write,7.85
2026-08-01 11:43:35.174132,u15,u15-laptop,it/tickets/,read,2.37
2026-08-01 11:48:24.552275,u06,u06-laptop,finance/general_ledger.xlsx,read,7.97
2026-08-01 11:52:37.985070,u08,u08-laptop,hr/leave_records.xlsx,read,2.33
2026-08-01 11:53:04.543461,u15,u15-laptop,it/asset_inventory.xlsx,read,1.97
2026-08-01 11:54:24.280811,u15,u15-laptop,it/tickets/,download,5.06
2026-08-01 11:58:02.748123,u15,u15-laptop,it/tickets/,write,1.88
2026-08-01 12:00:49.949680,u15,u15-laptop,it/scripts/,write,3.91
2026-08-01 12:02:21.215901,u06,u06-laptop,finance/budget_2026.xlsx,write,3.87
2026-08-01 12:02:43.071046,u15,u15-laptop,it/tickets/,read,4.63
2026-08-01 12:04:21.332112,u15,u15-laptop,it/tickets/,download,7.32
2026-08-01 12:24:36.876271,u08,u08-laptop,hr/employee_records.db,read,4.29
2026-08-01 12:27:26.477723,u08,u08-laptop,hr/onboarding/,read,2.31
2026-08-01 12:29:49.266339,u06,u06-laptop,finance/general_ledger.xlsx,read,0.65
2026-08-01 12:31:36.697755,u08,u08-laptop,hr/onboarding/,read,9.78
